Date,GBP= (BID)
,Close
14/12/2021,1.3238
13/12/2021,1.3216
10/12/2021,1.3269
09/12/2021,1.3219
08/12/2021,1.3209
07/12/2021,1.3242
06/12/2021,1.3264
03/12/2021,1.3231
02/12/2021,1.3306
01/12/2021,1.3277
30/11/2021,1.3295
29/11/2021,1.3311
26/11/2021,1.334
25/11/2021,1.332
24/11/2021,1.3325
23/11/2021,1.3374
22/11/2021,1.3396
19/11/2021,1.3452
18/11/2021,1.3488
17/11/2021,1.348
16/11/2021,1.3427
15/11/2021,1.3418
12/11/2021,1.3413
11/11/2021,1.3371
10/11/2021,1.3401
09/11/2021,1.3554
08/11/2021,1.3561
05/11/2021,1.3494
04/11/2021,1.3498
03/11/2021,1.3684
02/11/2021,1.3614
01/11/2021,1.3672
29/10/2021,1.3691
28/10/2021,1.3788
27/10/2021,1.3746
26/10/2021,1.3766
25/10/2021,1.3768
22/10/2021,1.3751
21/10/2021,1.3791
20/10/2021,1.3824
19/10/2021,1.3795
18/10/2021,1.3725
15/10/2021,1.3749
14/10/2021,1.3673
13/10/2021,1.3659
12/10/2021,1.3585
11/10/2021,1.3595
08/10/2021,1.3611
07/10/2021,1.3617
06/10/2021,1.358
05/10/2021,1.3629
04/10/2021,1.3613
01/10/2021,1.3545
30/9/2021,1.3472
29/9/2021,1.3422
28/9/2021,1.3534
27/9/2021,1.3695
24/9/2021,1.3682
23/9/2021,1.3716
22/9/2021,1.3625
21/9/2021,1.3659
20/9/2021,1.3657
17/9/2021,1.3742
16/9/2021,1.3788
15/9/2021,1.3837
14/9/2021,1.3806
13/9/2021,1.3836
10/9/2021,1.3839
09/9/2021,1.3835
08/9/2021,1.3768
07/9/2021,1.3782
06/9/2021,1.3834
03/9/2021,1.3865
02/9/2021,1.3829
01/9/2021,1.3768
31/8/2021,1.3754
30/8/2021,1.3758
27/8/2021,1.3757
26/8/2021,1.3699
25/8/2021,1.3759
24/8/2021,1.3727
23/8/2021,1.3717
20/8/2021,1.3621
19/8/2021,1.3638
18/8/2021,1.3755
17/8/2021,1.3739
16/8/2021,1.385
13/8/2021,1.3863
12/8/2021,1.3804
11/8/2021,1.3872
10/8/2021,1.3843
09/8/2021,1.3844
06/8/2021,1.3871
05/8/2021,1.3928
04/8/2021,1.3885
03/8/2021,1.3914
02/8/2021,1.3881
30/7/2021,1.3901
29/7/2021,1.3961
28/7/2021,1.3898
27/7/2021,1.3874
26/7/2021,1.3816
23/7/2021,1.3745
22/7/2021,1.3763
21/7/2021,1.371
20/7/2021,1.3626
19/7/2021,1.3672
16/7/2021,1.3772
15/7/2021,1.3828
14/7/2021,1.3856
13/7/2021,1.3808
12/7/2021,1.388
09/7/2021,1.3899
08/7/2021,1.3785
07/7/2021,1.38
06/7/2021,1.3799
05/7/2021,1.3845
02/7/2021,1.3821
01/7/2021,1.3767
30/6/2021,1.3827
29/6/2021,1.3835
28/6/2021,1.3883
25/6/2021,1.3877
24/6/2021,1.3922
23/6/2021,1.3959
22/6/2021,1.3947
21/6/2021,1.3929
18/6/2021,1.3809
17/6/2021,1.3919
16/6/2021,1.3987
15/6/2021,1.408
14/6/2021,1.4112
11/6/2021,1.4106
10/6/2021,1.4173
09/6/2021,1.4118
08/6/2021,1.4155
07/6/2021,1.4178
04/6/2021,1.4154
03/6/2021,1.4103
02/6/2021,1.4168
01/6/2021,1.4146
31/5/2021,1.4209
28/5/2021,1.4187
27/5/2021,1.4205
26/5/2021,1.4118
25/5/2021,1.4151
24/5/2021,1.4155
21/5/2021,1.4147
20/5/2021,1.4189
19/5/2021,1.4113
18/5/2021,1.4187
17/5/2021,1.4134
14/5/2021,1.4096
13/5/2021,1.405
12/5/2021,1.4052
11/5/2021,1.4141
10/5/2021,1.412
07/5/2021,1.3972
06/5/2021,1.3885
05/5/2021,1.3903
04/5/2021,1.3885
03/5/2021,1.3909
30/4/2021,1.3814
29/4/2021,1.394
28/4/2021,1.3932
27/4/2021,1.3912
26/4/2021,1.3896
23/4/2021,1.3874
22/4/2021,1.3836
21/4/2021,1.3929
20/4/2021,1.3936
19/4/2021,1.3983
16/4/2021,1.383
15/4/2021,1.3786
14/4/2021,1.3778
13/4/2021,1.3748
12/4/2021,1.374
09/4/2021,1.3708
08/4/2021,1.3733
07/4/2021,1.3734
06/4/2021,1.3823
05/4/2021,1.3897
02/4/2021,1.3829
01/4/2021,1.383
31/3/2021,1.3779
30/3/2021,1.3739
29/3/2021,1.3759
26/3/2021,1.3787
25/3/2021,1.3732
24/3/2021,1.3683
23/3/2021,1.375
22/3/2021,1.3863
19/3/2021,1.3868
18/3/2021,1.392
17/3/2021,1.3963
16/3/2021,1.3887
15/3/2021,1.3893
12/3/2021,1.3922
11/3/2021,1.399
10/3/2021,1.393
09/3/2021,1.3893
08/3/2021,1.3824
05/3/2021,1.3841
04/3/2021,1.3894
03/3/2021,1.3953
02/3/2021,1.3953
01/3/2021,1.3922
26/2/2021,1.3932
25/2/2021,1.4013
24/2/2021,1.4139
23/2/2021,1.411
22/2/2021,1.4061
19/2/2021,1.4014
18/2/2021,1.3971
17/2/2021,1.3853
16/2/2021,1.3901
15/2/2021,1.3903
12/2/2021,1.3844
11/2/2021,1.3815
10/2/2021,1.3828
09/2/2021,1.3814
08/2/2021,1.3738
05/2/2021,1.3733
04/2/2021,1.367
03/2/2021,1.3644
02/2/2021,1.3665
01/2/2021,1.3661
29/1/2021,1.3702
28/1/2021,1.3718
27/1/2021,1.3686
26/1/2021,1.3733
25/1/2021,1.3674
22/1/2021,1.3684
21/1/2021,1.3732
20/1/2021,1.3653
19/1/2021,1.3628
18/1/2021,1.3584
15/1/2021,1.3586
14/1/2021,1.3687
13/1/2021,1.3637
12/1/2021,1.3663
11/1/2021,1.3514
08/1/2021,1.3563
07/1/2021,1.3563
06/1/2021,1.3607
05/1/2021,1.3624
04/1/2021,1.3569
01/1/2021,1.3671
31/12/2020,1.3673
30/12/2020,1.3622
29/12/2020,1.35
28/12/2020,1.3449
25/12/2020,1.3548
24/12/2020,1.3555
23/12/2020,1.3492
22/12/2020,1.336
21/12/2020,1.3463
18/12/2020,1.352
17/12/2020,1.3582
16/12/2020,1.3507
15/12/2020,1.3461
14/12/2020,1.3322
11/12/2020,1.3223
10/12/2020,1.3293
09/12/2020,1.3396
08/12/2020,1.3353
07/12/2020,1.3376
04/12/2020,1.3437
03/12/2020,1.3452
02/12/2020,1.3363
01/12/2020,1.3415
30/11/2020,1.3321
27/11/2020,1.3314
26/11/2020,1.3355
25/11/2020,1.3382
24/11/2020,1.3356
23/11/2020,1.3323
20/11/2020,1.3282
19/11/2020,1.3261
18/11/2020,1.3269
17/11/2020,1.3241
16/11/2020,1.3191
13/11/2020,1.3186
12/11/2020,1.3114
11/11/2020,1.3221
10/11/2020,1.3271
09/11/2020,1.3163
06/11/2020,1.3156
05/11/2020,1.3142
04/11/2020,1.2985
03/11/2020,1.3058
02/11/2020,1.2912
