Date,GBP= (BID)
,Close
01/9/2014,1.6325
25/8/2014,1.6597
18/8/2014,1.6569
11/8/2014,1.6694
04/8/2014,1.6772
28/7/2014,1.682
21/7/2014,1.6972
14/7/2014,1.7086
07/7/2014,1.7122
30/6/2014,1.7158
23/6/2014,1.7033
16/6/2014,1.701
09/6/2014,1.6963
02/6/2014,1.68
26/5/2014,1.675
19/5/2014,1.683
12/5/2014,1.6813
05/5/2014,1.6849
28/4/2014,1.6865
21/4/2014,1.6803
14/4/2014,1.6805
07/4/2014,1.6732
31/3/2014,1.6578
24/3/2014,1.6636
17/3/2014,1.6484
10/3/2014,1.6643
03/3/2014,1.6711
24/2/2014,1.6743
17/2/2014,1.6614
10/2/2014,1.6744
03/2/2014,1.6409
27/1/2014,1.6432
20/1/2014,1.6481
13/1/2014,1.6421
06/1/2014,1.6479
30/12/2013,1.6413
23/12/2013,1.6478
16/12/2013,1.6333
09/12/2013,1.6296
02/12/2013,1.6347
25/11/2013,1.6365
18/11/2013,1.6223
11/11/2013,1.6119
04/11/2013,1.6015
28/10/2013,1.5924
21/10/2013,1.6164
14/10/2013,1.6165
07/10/2013,1.5954
30/9/2013,1.6008
23/9/2013,1.6136
16/9/2013,1.6004
09/9/2013,1.5873
02/9/2013,1.5629
26/8/2013,1.5508
19/8/2013,1.5567
12/8/2013,1.5627
05/8/2013,1.5498
29/7/2013,1.5287
22/7/2013,1.5379
15/7/2013,1.5266
08/7/2013,1.5105
01/7/2013,1.4887
24/6/2013,1.521
17/6/2013,1.5416
10/6/2013,1.5703
03/6/2013,1.5557
27/5/2013,1.5198
20/5/2013,1.5125
13/5/2013,1.5169
06/5/2013,1.5363
29/4/2013,1.5571
22/4/2013,1.5478
15/4/2013,1.523
08/4/2013,1.5341
01/4/2013,1.5333
25/3/2013,1.5201
18/3/2013,1.5229
11/3/2013,1.5113
04/3/2013,1.4915
25/2/2013,1.5036
18/2/2013,1.516
11/2/2013,1.5516
04/2/2013,1.5796
28/1/2013,1.569
21/1/2013,1.5801
14/1/2013,1.5866
07/1/2013,1.613
31/12/2012,1.6071
24/12/2012,1.6168
17/12/2012,1.617
10/12/2012,1.6165
03/12/2012,1.6036
26/11/2012,1.601
19/11/2012,1.603
12/11/2012,1.5883
05/11/2012,1.5893
29/10/2012,1.6023
22/10/2012,1.6103
15/10/2012,1.6003
08/10/2012,1.607
01/10/2012,1.6134
24/9/2012,1.6164
17/9/2012,1.6227
10/9/2012,1.6213
03/9/2012,1.6005
27/8/2012,1.5864
20/8/2012,1.5809
13/8/2012,1.5698
06/8/2012,1.569
30/7/2012,1.5641
23/7/2012,1.5746
16/7/2012,1.5619
09/7/2012,1.5572
02/7/2012,1.5488
25/6/2012,1.5705
18/6/2012,1.5588
11/6/2012,1.5715
04/6/2012,1.5472
28/5/2012,1.5361
21/5/2012,1.5659
14/5/2012,1.5815
07/5/2012,1.607
30/4/2012,1.6153
23/4/2012,1.6265
16/4/2012,1.6124
09/4/2012,1.5846
02/4/2012,1.5885
26/3/2012,1.601
19/3/2012,1.5866
12/3/2012,1.5843
05/3/2012,1.5675
27/2/2012,1.5836
20/2/2012,1.5886
13/2/2012,1.5836
06/2/2012,1.5738
30/1/2012,1.5812
23/1/2012,1.5733
16/1/2012,1.557
09/1/2012,1.5317
02/1/2012,1.5433
26/12/2011,1.5535
19/12/2011,1.5588
12/12/2011,1.5519
05/12/2011,1.5659
28/11/2011,1.5593
21/11/2011,1.5447
14/11/2011,1.5789
